Inizio Thu Apr 13 12:29:49 2023 1681381789.4457855 C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\my_log.py
Fine Thu Apr 13 12:29:50 2023 1681381790.0491707 C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\my_log.py
Inizio Thu Apr 13 13:04:35 2023; 1681383875.7316744; W10STAT-3-161; C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\hosts.py
Fine Thu Apr 13 13:04:36 2023; 1681383876.3357167; W10STAT-3-161; C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\hosts.py
Inizio; Thu Apr 13 13:06:10 2023; 1681383970.003348; C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\hosts.py; W10STAT-3-161
Fine; Thu Apr 13 13:06:10 2023; 1681383970.6175482; C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\hosts.py; W10STAT-3-161
Thu Apr 13 13:29:16 2023; 1681385356.7477992; C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\hosts.py; W10STAT-3-161
Thu Apr 13 13:29:22 2023; 1681385362.3621843; C:\Users\19978\Desktop\scarpa_federico_hosts\hosts\package\hosts.py; W10STAT-3-161
1681925658.7794971; ZENBOOK; win32; hosts.py; descrizione:azione; 11681925701.2008562; ZENBOOK; win32; hosts.py; descrizione:azione; 11681925780.9188354; ZENBOOK; win32; hosts.py; descrizione:azione; 11681925843.3648074; ZENBOOK; win32; hosts.py; descrizione:azione; 11681925913.8136754; ZENBOOK; win32; hosts.py; descrizione:azione; 1
1681925927.6845841; ZENBOOK; win32; hosts.py; descrizione:azione; 1
1681926045.9045496; ZENBOOK; win32; hosts.py; descrizione:azione; 1
1681926092.0820706; ZENBOOK; win32; hosts.py; descrizione:azione; 1
1681926820.7966132; ZENBOOK; win32; hosts.py; descrizione:azione; 1
1682329831.8968034; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330090.0254793; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330152.7917068; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330382.7479744; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330460.425748; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330626.2184489; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330671.4446313; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330774.071111; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682330861.5464466; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682331109.5840406; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682331219.1005144; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682331288.3607213; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682331434.5686724; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1682331570.9473984; ZENBOOK; win32; hosts.py; descrizione:azione; 3
1683110313.6912801; fedescarpa; linux; hosts.py; descrizione:azione; 3
1683110403.0054648; fedescarpa; linux; hosts.py; descrizione:azione; 3
