1702465955.6814742; W10STAT-3-161; win32; calcola_bioritmi.py
1702466085.6360195; W10STAT-3-161; win32; calcola_bioritmi.py
1702466135.8827403; W10STAT-3-161; win32; calcola_bioritmi.py
1702466167.4472191; W10STAT-3-161; win32; calcola_bioritmi.py
1702466186.694509; W10STAT-3-161; win32; calcola_bioritmi.py
1702466235.716634; W10STAT-3-161; win32; calcola_bioritmi.py
1702466293.5264282; W10STAT-3-161; win32; calcola_bioritmi.py
1702466342.9138079; W10STAT-3-161; win32; calcola_bioritmi.py
1702466605.163024; W10STAT-3-161; win32; calcola_bioritmi.py
1702466625.4613628; W10STAT-3-161; win32; calcola_bioritmi.py
1702466702.8102844; W10STAT-3-161; win32; calcola_bioritmi.py
1702466777.15242; W10STAT-3-161; win32; calcola_bioritmi.py
1702466976.976738; W10STAT-3-161; win32; calcola_bioritmi.py
1702466985.598647; W10STAT-3-161; win32; calcola_bioritmi.py
1702467094.8215904; W10STAT-3-161; win32; calcola_bioritmi.py
1702467432.459909; W10STAT-3-161; win32; calcola_bioritmi.py
1702467835.0683012; W10STAT-3-161; win32; calcola_bioritmi.py
1702470339.8953867; W10STAT-3-161; win32; calcola_bioritmi.py
1702470416.2936695; W10STAT-3-161; win32; calcola_bioritmi.py
1702470703.4736855; W10STAT-3-161; win32; calcola_bioritmi.py
1702470718.4360042; W10STAT-3-161; win32; calcola_bioritmi.py
1702470844.0923667; W10STAT-3-161; win32; calcola_bioritmi.py
1702470991.8068137; W10STAT-3-161; win32; calcola_bioritmi.py
1702470996.769777; W10STAT-3-161; win32; calcola_bioritmi.py
1702471036.2576344; W10STAT-3-161; win32; calcola_bioritmi.py
1702471052.0385804; W10STAT-3-161; win32; calcola_bioritmi.py
1702922547.7824297; ZENBOOK; win32; calcola_bioritmi.py
1702922562.3264618; ZENBOOK; win32; calcola_bioritmi.py
1702922585.5424967; ZENBOOK; win32; calcola_bioritmi.py
1702922609.509632; ZENBOOK; win32; calcola_bioritmi.py
1702923057.3602514; ZENBOOK; win32; calcola_bioritmi.py
1702923232.936607; ZENBOOK; win32; calcola_bioritmi.py
1702923518.259584; ZENBOOK; win32; calcola_bioritmi.py
1702923534.1613185; ZENBOOK; win32; calcola_bioritmi.py
1702923544.3261032; ZENBOOK; win32; calcola_bioritmi.py
1702923736.781604; ZENBOOK; win32; calcola_bioritmi.py
1702923748.1956236; ZENBOOK; win32; calcola_bioritmi.py
1702924090.5871127; ZENBOOK; win32; calcola_bioritmi.py
1702924172.5920057; ZENBOOK; win32; calcola_bioritmi.py
1702924323.545296; ZENBOOK; win32; calcola_bioritmi.py
1702924357.5595884; ZENBOOK; win32; calcola_bioritmi.py
1702924375.6998875; ZENBOOK; win32; calcola_bioritmi.py
1702924415.7698839; ZENBOOK; win32; calcola_bioritmi.py
1702924439.6554585; ZENBOOK; win32; calcola_bioritmi.py
1702924517.086399; ZENBOOK; win32; calcola_bioritmi.py
1702924523.79701; ZENBOOK; win32; calcola_bioritmi.py
1702924552.9688392; ZENBOOK; win32; calcola_bioritmi.py
1702924623.3207028; ZENBOOK; win32; calcola_bioritmi.py
