Matricola,Data del calcolo,Bioritmo Fisico,Bioritmo Emotivo,Bioritmo Intellettuale
19281,05/04/2024,-82,12,-81
19281,06/04/2024,-79,8,-83
19281,07/04/2024,-77,5,-85
19281,08/04/2024,-74,1,-86
19566,05/04/2024,-93,-91,-74
19566,06/04/2024,-95,-90,-76
19566,07/04/2024,-96,-88,-78
19566,08/04/2024,-97,-86,-80
19609,05/04/2024,8,-67,-99
19609,06/04/2024,12,-70,-99
19609,07/04/2024,17,-73,-99
19609,08/04/2024,21,-75,-98
19551,05/04/2024,85,-49,89
19551,06/04/2024,87,-46,90
19551,07/04/2024,89,-43,91
19551,08/04/2024,91,-39,92
19290,05/04/2024,49,-89,-92
19290,06/04/2024,53,-91,-91
19290,07/04/2024,57,-92,-89
19290,08/04/2024,60,-93,-88
19513,05/04/2024,42,77,76
19513,06/04/2024,38,79,74
19513,07/04/2024,34,82,72
19513,08/04/2024,29,84,70
19767,05/04/2024,60,19,-35
19767,06/04/2024,57,16,-32
19767,07/04/2024,53,12,-29
19767,08/04/2024,49,9,-26
19734,05/04/2024,96,93,-93
19734,06/04/2024,97,92,-92
19734,07/04/2024,98,90,-91
19734,08/04/2024,99,88,-90
20008,05/04/2024,98,90,-91
20008,06/04/2024,99,88,-90
20008,07/04/2024,99,87,-88
20008,08/04/2024,100,85,-87
19977,05/04/2024,15,-94,46
19977,06/04/2024,19,-93,49
19977,07/04/2024,23,-91,52
19977,08/04/2024,27,-90,54
20012,05/04/2024,87,-46,90
20012,06/04/2024,89,-43,91
20012,07/04/2024,91,-39,92
20012,08/04/2024,93,-36,94
19739,05/04/2024,-96,-58,24
19739,06/04/2024,-97,-55,21
19739,07/04/2024,-98,-52,18
19739,08/04/2024,-99,-49,15
19990,05/04/2024,76,47,25
19990,06/04/2024,79,50,22
19990,07/04/2024,81,53,19
19990,08/04/2024,84,56,16
19948,05/04/2024,34,6,58
19948,06/04/2024,38,9,55
19948,07/04/2024,42,13,53
19948,08/04/2024,46,16,50
19791,05/04/2024,70,40,31
19791,06/04/2024,73,44,28
19791,07/04/2024,76,47,25
19791,08/04/2024,79,50,22
19842,05/04/2024,-22,-47,-99
19842,06/04/2024,-18,-50,-100
19842,07/04/2024,-14,-53,-100
19842,08/04/2024,-9,-56,-100
19771,05/04/2024,-88,2,-30
19771,06/04/2024,-85,6,-33
19771,07/04/2024,-83,9,-35
19771,08/04/2024,-81,13,-38
19775,05/04/2024,-20,-100,24
19775,06/04/2024,-16,-100,27
19775,07/04/2024,-11,-99,30
19775,08/04/2024,-7,-99,33
20031,05/04/2024,-16,-100,27
20031,06/04/2024,-11,-99,30
20031,07/04/2024,-7,-99,33
20031,08/04/2024,-3,-98,35
19750,05/04/2024,36,88,-88
19750,06/04/2024,31,87,-90
19750,07/04/2024,27,85,-91
19750,08/04/2024,23,83,-92
19737,05/04/2024,4,-30,7
19737,06/04/2024,-1,-34,10
19737,07/04/2024,-5,-37,13
19737,08/04/2024,-9,-40,16
19784,05/04/2024,-83,9,-35
19784,06/04/2024,-81,13,-38
19784,07/04/2024,-78,16,-41
19784,08/04/2024,-75,20,-44
19978,05/04/2024,-11,-99,30
19978,06/04/2024,-7,-99,33
19978,07/04/2024,-3,-98,35
19978,08/04/2024,2,-97,38
19733,05/04/2024,-75,20,-44
19733,06/04/2024,-72,23,-47
19733,07/04/2024,-69,27,-49
19733,08/04/2024,-66,30,-52
19746,05/04/2024,-75,20,-44
19746,06/04/2024,-72,23,-47
19746,07/04/2024,-69,27,-49
19746,08/04/2024,-66,30,-52
19851,05/04/2024,-0,-23,76
19851,06/04/2024,4,-19,74
19851,07/04/2024,8,-16,72
19851,08/04/2024,13,-12,70
19787,05/04/2024,98,94,-37
19787,06/04/2024,97,96,-40
19787,07/04/2024,96,97,-43
19787,08/04/2024,94,97,-46
20545,05/04/2024,-100,-50,-64
20545,06/04/2024,-100,-53,-62
20545,07/04/2024,-99,-56,-60
20545,08/04/2024,-99,-59,-57
