,name,album,release_date,track_number,id,uri
0,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,1,4WUepByoeqcedHoYhSNHRt,spotify:track:4WUepByoeqcedHoYhSNHRt
1,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,2,0108kcWLnn2HlH2kedi1gn,spotify:track:0108kcWLnn2HlH2kedi1gn
2,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,3,3Vpk1hfMAQme8VJ0SNRSkd,spotify:track:3Vpk1hfMAQme8VJ0SNRSkd
3,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,4,1OcSfkeCg9hRC2sFKB4IMJ,spotify:track:1OcSfkeCg9hRC2sFKB4IMJ
4,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,5,2k0ZEeAqzvYMcx9Qt5aClQ,spotify:track:2k0ZEeAqzvYMcx9Qt5aClQ
5,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,6,50yNTF0Od55qnHLxYsA5Pw,spotify:track:50yNTF0Od55qnHLxYsA5Pw
6,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,7,3FxJDucHWdw6caWTKO5b23,spotify:track:3FxJDucHWdw6caWTKO5b23
7,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,8,7oZONwFiFIErZcXAtTu7FY,spotify:track:7oZONwFiFIErZcXAtTu7FY
8,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,9,27exgla7YBw9DUNNcTIpjy,spotify:track:27exgla7YBw9DUNNcTIpjy
9,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,10,733OhaXQIHY7BKtY3vnSkn,spotify:track:733OhaXQIHY7BKtY3vnSkn
10,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],27/10/2023,11,4WBEj8TeGtRPNJdOmT3WJW,spotify:track:4WBEj8TeGtRPNJdOmT3WJW
11,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],27/10/2023,12,1ULabO0PEsdJekqVH6G10G,spotify:track:1ULabO0PEsdJekqVH6G10G
