1707234114.2711737;ZENBOOK;win32;scarpa_federico_spotify.py
1707234251.1863565;ZENBOOK;win32;scarpa_federico_spotify.py
1707234282.570984;ZENBOOK;win32;scarpa_federico_spotify.py
1707234298.2478676;ZENBOOK;win32;scarpa_federico_spotify.py
1707234888.7078264;ZENBOOK;win32;scarpa_federico_spotify.py
1707235007.288927;ZENBOOK;win32;scarpa_federico_spotify.py
1707305813.7115066;W10STAT-3-161;win32;scarpa_federico_spotify.py
1707305871.243421;W10STAT-3-161;win32;scarpa_federico_spotify.py
1707306307.7683327;W10STAT-3-161;win32;scarpa_federico_spotify.py
1707306327.4482882;W10STAT-3-161;win32;scarpa_federico_spotify.py
1707306531.1857848;W10STAT-3-161;win32;scarpa_federico_spotify.py
1708709398.646927;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709560.956487;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709581.2041483;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709784.0803287;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709788.70871;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709863.4735703;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709897.1461065;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709915.849571;ZENBOOK;win32;scarpa_federico_spotify.py;
1708709924.3921473;ZENBOOK;win32;scarpa_federico_spotify.py;
1708710495.7761366;ZENBOOK;win32;scarpa_federico_spotify.py;
1709387641.7433436;ZENBOOK;win32;scarpa_federico_spotify.py;
1709387877.225909;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388216.9297447;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388273.0318944;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388356.8525627;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388401.3371098;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388893.2037358;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388908.5314734;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388918.1500335;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388919.2865913;ZENBOOK;win32;scarpa_federico_spotify.py;
1709388995.753256;ZENBOOK;win32;scarpa_federico_spotify.py;
